code	product_name_fr	generic_name_fr	quantity	packaging	brands	categories	allergens	energy.kcal_value	fat_value	saturated.fat_value	sugars_value	proteins_value	salt_value	off.nutriscore_score	Sandwich
2000000041841	P'tit Campagne	Sandwich composé d'un petit pain de campagne	142 g	Papier	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Graines de sésame, Anhydride sulfureux et sulfites	NA	11	4,9	1	13	1,2	11	Oui
2000000012196	Lait pour café	Lait pour café stérilisé UHT (10% M.G)	10 g	Plastique, Pot, Dose invididuelle	McDonald's	Produits laitiers, Laits	Lait	NA	10	NA	NA	NA	NA	NA	Non
2000000017538	P'tite pomme 100% françaises	Petits quartiers de pommes prêt à consommer	80 g	Plastique, Sachet	McDonald's	Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Pommes	NA	53	0	0	11	0	0,01	-5	Non
2000000003766	Casse Croûte Jambon Fromage	NA	268 g	Papier	McDonald's	Sandwichs, Fast-food	NA	240	10	3	2	10	1,3	0	Oui
2000000003767	Casse Croûte Bœuf Moutarde **	NA	283 g	Boîte, Carton	McDonald's	Sandwichs, Fast-food	NA	250	11	3	2	10	1,1	1	Oui
2000000003768	Casse Croûte Poulet Curry ***	NA	309 g	Papier	McDonald's	Sandwichs	NA	250	11	1	3	8	1,2	0	Oui
2000000003775	Salade Farmer **	NA	278 g	Plastique, Barquette	McDonald's	Plats préparés, en:salads, Salades composées	NA	90	4	1	4	6	1,2	1	Non
2000000003786	Fanta Orange	NA	40 cl / 416 g	Carton, Gobelet	McDonald's	Boissons, Boissons gazeuses, Sodas, Boissons avec sucre ajouté	NA	40	0	0	9	0	0	12	Non
2000000046387	Grilled Cheese & Bacon	Sandwich chaud au steaks hachés 100% pur bœuf, cheddar fondu et bacon croustillant.	203 g	Carton, 21	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Soja	NA	18	7,9	3	17	1,2	15	Oui
2000000047066	Sauce CBO	Sauce CBO	740 ml	Plastique, Bouteille	McDonald's	en:groceries, Sauces, Sauces pour hamburgers	Œufs, Lait, Moutarde	NA	NA	NA	NA	NA	NA	NA	Non
2000000047070	Sauce Mc Deluxe	Sauce à la moutarde à l'ancienne	750 ml e	Plastique, Carton	McDonald's	en:groceries, Sauces, Sauces pour hamburgers	Œufs, Moutarde, Soja	NA	NA	NA	NA	NA	NA	NA	Non
